service <sip:service@172.18.0.5:5060>	1-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>	1-247273@172.18.0.1	172.18.0.2
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016242	1-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016242	1-247273@172.18.0.1	172.18.0.1
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016242	1-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016242	1-247273@172.18.0.1	172.18.0.1
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016242	1-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016242	1-247273@172.18.0.1	172.18.0.2
service <sip:service@172.18.0.5:5060>	2-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>	2-247273@172.18.0.1	172.18.0.2
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016243	2-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016243	2-247273@172.18.0.1	172.18.0.1
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016243	2-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016243	2-247273@172.18.0.1	172.18.0.1
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016243	2-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016243	2-247273@172.18.0.1	172.18.0.2
service <sip:service@172.18.0.5:5060>	3-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>	3-247273@172.18.0.1	172.18.0.2
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016244	3-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016244	3-247273@172.18.0.1	172.18.0.1
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016244	3-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016244	3-247273@172.18.0.1	172.18.0.1
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016244	3-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016244	3-247273@172.18.0.1	172.18.0.2
service <sip:service@172.18.0.5:5060>	4-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>	4-247273@172.18.0.1	172.18.0.3
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016290	4-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016290	4-247273@172.18.0.1	172.18.0.1
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016290	4-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016290	4-247273@172.18.0.1	172.18.0.1
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016290	4-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016290	4-247273@172.18.0.1	172.18.0.3
service <sip:service@172.18.0.5:5060>	5-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>	5-247273@172.18.0.1	172.18.0.2
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016245	5-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016245	5-247273@172.18.0.1	172.18.0.1
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016245	5-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016245	5-247273@172.18.0.1	172.18.0.1
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016245	5-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016245	5-247273@172.18.0.1	172.18.0.3
service <sip:service@172.18.0.5:5060>	6-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>	6-247273@172.18.0.1	172.18.0.2
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016246	6-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016246	6-247273@172.18.0.1	172.18.0.1
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016246	6-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016246	6-247273@172.18.0.1	172.18.0.1
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016246	6-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016246	6-247273@172.18.0.1	172.18.0.3
service <sip:service@172.18.0.5:5060>	7-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>	7-247273@172.18.0.1	172.18.0.2
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016247	7-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016247	7-247273@172.18.0.1	172.18.0.1
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016247	7-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016247	7-247273@172.18.0.1	172.18.0.1
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016247	7-247273@172.18.0.1	172.18.0.5
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016247	7-247273@172.18.0.1	172.18.0.2
service <sip:service@172.18.0.5:5060>;tag=1SIPpTag016245	5-247273@172.18.0.1	172.18.0.5
